t_index term df
441 250member 2
442 253 2
443 255 4
444 257 1
445 2583 2
446 259 1
447 2595 1
448 25foot 1
449 25th 6
450 25yearold 1
451 26 43
452 26000 3
453 264 1
454 26484 1
455 267 1
456 269 1
457 26yearold 1
458 27 15
459 270 8
460 271 1
461 275 6
462 27yearold 6
463 28 21
464 2800 1
465 28000 7
466 2829 1
467 283 2
468 2834 2
469 2850 1
470 28th 1
471 28yearold 1
472 29 33
473 293 3
474 293strong 3
475 295 1
476 29yearold 3
477 2hour 3
478 2nd 3
479 2seed 1
480 2storei 1
481 2yearold 7
482 3 79
483 30 108
484 300 27
485 3000 16
486 30000 24
487 300000 12
488 300yardswid 1
489 30303 1
490 3040 2
491 308 3
492 30andov 1
493 30by40foot 2
494 30hour 1
495 30minut 1
496 30straight 1
497 30year 1
498 30yearold 9
499 31 22
500 310 2
501 315 2
502 31521 1
503 316 2
504 31st 1
505 31yearold 3
506 32 12
507 320 1
508 32000 2
509 325 1
510 327 3
511 329 1
512 3291 1
513 33 39
514 330 3
515 33000 1
516 332 1
517 333 1
518 335 6
519 33footlong 1
520 33rd 1
521 34 15
522 34000 2
523 345 5
524 348 1
525 34foot 2
526 34yearold 2
527 35 56
528 350 16
529 350bed 1
530 357 2
531 357calib 2
532 35magnitud 1
533 35year 3
534 35yearold 1
535 36 49
536 36000 1
537 3622 1
538 37 26
539 370 1
540 3700 1
541 372 3
542 3750 1
543 38 15
544 38248 1
545 387 1
546 38th 2
547 38yearold 4
548 39 63
549 39yearold 4
550 3dai 1
551 3foothigh 1
552 3rd 9
553 3to2 1
554 3yearold 4
555 4 35
556 40 95
557 400 23
558 4000 7
559 40000 1
560 400000 3
561 403 2
562 4030 1
563 4040 2
564 40bed 1
565 40by40 2
566 40by40feet 1
567 40by40foot 13
568 40foot 9
569 40footby40foot 2
570 40footlong 1
571 40man 1
572 40member 1
573 40page 1
574 40th 1
575 40yearold 6
576 41 15
577 41000 1
578 4102 2
579 415 1
580 418 3
581 41st 1
582 41yearold 4
583 42 25
584 421 1
585 426 1
586 42dai 1
587 43 14
588 435 4
589 4350 2
590 43rd 7
591 43yearold 1
592 44 15
593 440 1
594 440000 2
595 443 1
596 444 3
597 4440 1
598 44yearold 4
599 45 35
600 4500 1
601 45000 4
602 454 1
603 456 2
604 46 29
605 46000 1
606 466 1
607 4692 3
608 47 12
609 47101968 1
610 472 1
611 47242846 1
612 473385 2
613 475 1
614 475000 1
615 47minut 2
616 47yearold 1
617 48 23
618 480 1
619 4800 1
620 48000 1
621 48421815 1
622 48591357 1
623 48hour 1
624 48inch 2
625 48th 1
626 49 2
627 49000 1
628 494 1
629 4949 1
630 49560 1
631 4all 2
632 4point 3
633 4seed 1
634 4time 1
635 4yearold 9
636 5 79
637 50 89
638 500 26
639 5000 22
640 50000 8
641 500000 17
642 500footlong 1
643 500year 1
644 5048 3
645 5049 1
646 505 1
647 5050 7
648 505foot 10
649 505footlong 1
650 50calib 1
651 50minut 1
652 50year 3
653 50yearold 2
654 51 20
655 51000 2
656 5134 1
657 5135 2
658 514 1
659 515 4
660 5150 1
661 51st 2
662 51yearold 1
663 52 20
664 527 1
665 5272 2
